DogID	Village	Sex	AgeClass	BCS
AW_01A	Awine	Male	Subadult	Moderate
AW_02A	Awine	Male	Subadult	Poor
AW_02B	Awine	Male	Adult	Poor
AW_02C	Awine	Female	Adult	Poor
AW_03A	Awine	Male	Adult	Moderate
AW_03B	Awine	Male	Adult	Moderate
AW_04A	Awine	Female	Juvenile	Poor
AW_04B	Awine	Male	Adult	Moderate
AW_05A	Awine	Female	Adult	Poor
AW_05B	Awine	Male	Adult	Poor
AW_05C	Awine	Female	Subadult	Poor
AW_06A	Awine	Male	Subadult	Moderate
AW_07A	Awine	Male	Adult	Moderate
AW_07B	Awine	Female	Subadult	Poor
AW_07C	Awine	Male	Juvenile	Moderate
AW_08A	Awine	Female	Subadult	Poor
AW_09A	Awine	Male	Adult	Moderate
AW_09B	Awine	Female	Adult	Moderate
AW_09C	Awine	Female	Juvenile	Moderate
AW_09D	Awine	Female	Adult	Moderate
AW_09E	Awine	Male	Subadult	Poor
AW_10A	Awine	Male	Adult	Moderate
AW_10B	Awine	Female	Adult	Poor
AW_11A	Awine	Female	Adult	Moderate
AW_11B	Awine	Male	Adult	Poor
AW_11C	Awine	Male	Adult	Moderate
AW_13A	Awine	Female	Subadult	Poor
KM_01A	Kakale-Mberi	Male	NA	Poor
KM_02A	Kakale-Mberi	Male	Adult	Moderate
KM_02B	Kakale-Mberi	Male	Adult	Moderate
KM_02C	Kakale-Mberi	Female	Adult	Moderate
KM_03A	Kakale-Mberi	Male	Subadult	Poor
KM_04A	Kakale-Mberi	Female	Adult	Moderate
KM_05A	Kakale-Mberi	Male	Adult	Poor
KM_06B	Kakale-Mberi	Female	Juvenile	Poor
KM_09A	Kakale-Mberi	Male	Juvenile	Poor
KM_09B	Kakale-Mberi	Female	Juvenile	Poor
KM_10A	Kakale-Mberi	Female	Adult	Poor
KM_11A	Kakale-Mberi	Female	Adult	Poor
KM_11B	Kakale-Mberi	Female	Juvenile	Moderate
KM_12A	Kakale-Mberi	Female	Juvenile	Poor
KM_13A	Kakale-Mberi	Male	Adult	Moderate
KM_13B	Kakale-Mberi	Female	Subadult	Moderate
KM_14A	Kakale-Mberi	Female	Subadult	Poor
KM_15A	Kakale-Mberi	Male	Subadult	Poor
KM_16A	Kakale-Mberi	Male	Juvenile	Moderate
KM_17A	Kakale-Mberi	Male	Adult	Moderate
KM_19A	Kakale-Mberi	Female	Subadult	Moderate
